;Univers;n;gov
390;Федеральное государственное бюджетное учреждение науки Зоологический институт Российской академии наук;11;1
441;федеральное государственное бюджетное учреждение науки Институт земной коры Сибирского отделения Российской академии наук;11;1
551;федеральное государственное бюджетное учреждение науки Институт химии высокочистых веществ им. Г.Г.Девятых Российской академии наук;11;1
105;"федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт защиты растений&quot;";10;1
132;"федеральное государственное бюджетное научное учреждение &quot;Научный центр неврологии&quot;";10;1
168;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Алтайский государственный университет&quot;";10;1
174;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Башкирский государственный университет&quot;";10;1
175;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Белгородский государственный технологический университет им. В.Г. Шухова&quot;";10;1
179;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Волгоградский государственный технический университет&quot;";10;1
229;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный технологический университет &quot;СТАНКИН&quot;";10;1
241;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новосибирский государственный технический университет&quot;";10;1
244;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Омский государственный технический университет&quot;";10;1
299;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Томский государственный университет систем управления и радиоэлектроники&quot;";10;1
322;федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр имени академика Е.Н. Мешалкина» Министерства здравоохранения Российской Федерации;10;1
353;"федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр эндокринологии&quot; Министерства здравоохранения Российской Федерации";10;1
369;Федеральное государственное бюджетное учреждение науки «Федеральный научный центр Биоразнообразия наземной биоты Восточной Азии» Дальневосточного отделения Российской академии наук;10;1
378;"Федеральное государственное бюджетное учреждение науки &quot;Федеральный исследовательский центр &quot;Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук&quot;";10;1
385;федеральное государственное бюджетное учреждение науки Геологический институт Российской академии наук;10;1
394;Федеральное государственное бюджетное учреждение науки Институт автоматики и электрометрии Сибирского отделения Российской академии наук;10;1
400;Федеральное государственное бюджетное учреждение науки Институт Африки Российской академии наук;10;1
409;федеральное государственное бюджетное учреждение науки Институт биохимии и физиологии растений и микроорганизмов Российской академии наук;10;1
456;федеральное государственное бюджетное учреждение науки Институт лингвистических исследований Российской академии наук;10;1
460;Федеральное государственное бюджетное учреждение науки Институт машиноведения им. А.А. Благонравова Российской академии наук;10;1
499;Федеральное государственное бюджетное учреждение науки Институт проблем сверхпластичности металлов Российской академии наук;10;1
508;федеральное государственное бюджетное учреждение науки Институт психологии Российской академии наук;10;1
512;Федеральное государственное бюджетное учреждение науки Институт русской литературы (Пушкинский Дом) Российской академии наук;10;1
535;федеральное государственное бюджетное учреждение науки Институт физики Земли им. О.Ю. Шмидта Российской академии наук;10;1
549;Федеральное государственное бюджетное учреждение науки Институт философии Российской академии наук;10;1
567;Федеральное государственное бюджетное учреждение науки Институт экспериментальной минералогии имени академика Д.С .Коржинского Российской академии наук;10;1
577;федеральное государственное бюджетное учреждение науки Иркутский институт химии им. А.Е.Фаворского Сибирского отделения Российской академии наук;10;1
596;Федеральное государственное бюджетное учреждение науки Санкт-Петербургский институт информатики и автоматизации Российской академии наук;10;1
606;Федеральное государственное бюджетное учреждение науки Тихоокеанский океанологический институт им. В.И. Ильичева Дальневосточного отделения Российской академии наук;10;1
631;Федеральное государственное бюджетное учреждение науки Центральный экономико-математический институт Российской академии наук;10;1
118;"федеральное государственное бюджетное научное учреждение &quot;Институт экспериментальной медицины&quot;";9;1
127;"Федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт общей патологии и патофизиологии&quot;";9;1
202;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ&quot;";9;1
226;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный медико-стоматологический университет имени А.И. Евдокимова&quot; Министерства здравоохранения Российской Федерации";9;1
250;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Пензенский государственный университет&quot;";9;1
380;"Федеральное государственное бюджетное учреждение науки &quot;Федеральный исследовательский центр Южный научный центр Российской академии наук&quot;";9;1
404;федеральное государственное бюджетное учреждение науки Институт биологии развития им. Н.К. Кольцова РАН;9;1
420;федеральное государственное бюджетное учреждение науки Институт вычислительной математики и математической геофизики Сибирского отделения Российской академии наук;9;1
428;Федеральное государственное бюджетное учреждение науки Институт геологии и минералогии им. В.С.Соболева Сибирского отделения Российской академии наук;9;1
555;Федеральное государственное бюджетное учреждение науки Институт химии твердого тела и механохимии Сибирского отделения Российской академии наук;9;1
591;Федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт солнечно-земной физики Сибирского отделения Российской академии наук;9;1
592;федеральное государственное бюджетное учреждение науки Ордена Трудового Красного Знамени Институт химии силикатов им. И.В. Гребенщикова Российской академии наук;9;1
51;"Федеральное бюджетное учреждение науки &quot;Государственный научный центр вирусологии и биотехнологии &quot;Вектор&quot; Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека";8;1
84;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Северный (Арктический) федеральный университет имени М. В. Ломоносова&quot;";8;1
85;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Северо-Восточный федеральный университет имени М.К. Аммосова&quot;";8;1
88;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Тюменский государственный университет&quot;";8;1
99;Федеральное государственное бюджетное научное учреждение «Федеральный исследовательский центр фундаментальной и трансляционной медицины»;8;1
232;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский педагогический государственный университет&quot;";8;1
264;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский национальный исследовательский медицинский университет имени Н.И. Пирогова&quot; Министерства здравоохранения Российской Федерации";8;1
318;федеральное государственное бюджетное образовательное учреждение высшего образования Донской государственный технический университет;8;1
392;Федеральное государственное бюджетное учреждение науки Институт автоматизации проектирования Российской академии наук;8;1
418;федеральное государственное бюджетное учреждение науки Институт высшей нервной деятельности и нейрофизиологии Российской академии наук;8;1
423;Федеральное государственное бюджетное учреждение науки Институт вычислительных технологий Сибирского отделения Российской академии наук;8;1
490;Федеральное государственное бюджетное учреждение науки Институт проблем комплексного освоения недр им академика Н.В. Мельникова Российской академии наук;8;1
510;Федеральное государственное бюджетное учреждение науки Институт радиотехники и электроники им. В.А.Котельникова Российской академии наук;8;1
588;федеральное государственное бюджетное учреждение науки Ордена Дружбы народов Институт этнологии и антропологии им. Н.Н. Миклухо-Маклая Российской академии наук;8;1
610;"Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Карельский научный центр Российской академии наук&quot;";8;1
52;"федеральное бюджетное учреждение науки &quot;Государственный научный центр прикладной микробиологии и биотехнологии&quot;";7;1
54;"Федеральное бюджетное учреждение науки &quot;Центральный научно-исследовательский институт эпидемиологии&quot; Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека";7;1
94;"федеральное государственное автономное учреждение &quot;Национальный медицинский исследовательский центр нейрохирургии имени академика Н.Н. Бурденко&quot; Министерства здравоохранения Российской Федерации";7;1
128;"федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт по изысканию новых антибиотиков имени Г.Ф.Гаузе&quot;";7;1
130;"Федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт физиологии и фундаментальной медицины&quot;";7;1
135;"Федеральное государственное бюджетное научное учреждение &quot;Национальный исследовательский институт мировой экономики и международных отношений имени Е.М. Примакова Российской академии наук";7;1
139;"федеральное государственное бюджетное научное учреждение &quot;Почвенный институт имени В.В. Докучаева&quot;";7;1
234;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Национальный исследовательский Мордовский государственный университет им. Н. П. Огарёва&quot;";7;1
255;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Петрозаводский государственный университет&quot;";7;1
259;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации&quot;";7;1
268;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ростовский государственный университет путей сообщения&quot;";7;1
279;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный технологический институт (технический университет)&quot;";7;1
291;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тамбовский государственный технический университет&quot;";7;1
293;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тверской государственный технический университет&quot;";7;1
340;"федеральное государственное бюджетное учреждение &quot;Национальный исследовательский центр эпидемиологии и микробиологии имени почетного академика Н.Ф. Гамалеи&quot; Министерства здравоохранения Российской Федерации";7;1
386;Федеральное государственное бюджетное учреждение науки Геофизический центр Российской академии наук;7;1
399;Федеральное государственное бюджетное учреждение науки Институт астрономии Российской академии наук;7;1
440;федеральное государственное бюджетное учреждение науки Институт динамики систем и теории управления имени В.М. Матросова Сибирского отделения Российской академии наук;7;1
467;федеральное государственное бюджетное учреждение науки Институт мировой литературы им. А.М. Горького Российской академии наук;7;1
494;федеральное государственное бюджетное учреждение науки Институт проблем нефти и газа Cибирского отделения Российской академии наук;7;1
516;Федеральное государственное бюджетное учреждение науки Институт систем энергетики им. Л.А. Мелентьева Сибирского отделения Российской академии наук;7;1
534;федеральное государственное бюджетное учреждение науки Институт физики высоких давлений им. Л.Ф. Верещагина Российской академии наук;7;1
602;федеральное государственное бюджетное учреждение науки Специальная астрофизическая обсерватория Российской академии наук;7;1
608;Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр «Кольский научный центр Российской академии наук»;7;1
612;"Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр &quot;Коми научный центр Уральского отделения Российской академии наук&quot;";7;1
618;Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр химической физики им. Н.Н. Семенова Российской академии наук;7;1
57;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Волгоградский государственный университет&quot;";6;1
82;"Федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный электротехнический университет &quot;ЛЭТИ&quot; им. В.И. Ульянова (Ленина)&quot;";6;1
86;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Северо-Кавказский федеральный университет&quot;";6;1
103;Федеральное государственное бюджетное научное учреждение «Федеральный научный центр исследований и разработки иммунобиологических препаратов им. М.П.Чумакова РАН»;6;1
104;Федеральное государственное бюджетное научное учреждение «Федеральный научный центр пищевых систем им. В.М. Горбатова» РАН;6;1
114;"федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт фитопатологии&quot;";6;1
125;"федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт комплексных проблем сердечно-сосудистых заболеваний&quot;";6;1
131;"федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт фундаментальной и клинической иммунологии&quot;";6;1
152;"Федеральное государственное бюджетное научное учреждение &quot;Федеральный исследовательский центр угля и углехимии Сибирского отделения Российской академии наук&quot;";6;1
153;"Федеральное государственное бюджетное научное учреждение &quot;Федеральный научный центр биологических систем и агротехнологий Российской академии наук&quot;";6;1
156;"федеральное государственное бюджетное научное учреждение &quot;Центральный научно-исследовательский институт туберкулеза&quot;";6;1
196;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ижевский государственный технический университет имени М.Т. Калашникова&quot;";6;1
225;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный лингвистический университет&quot;";6;1
248;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Орловский государственный университет имени И.С. Тургенева&quot;";6;1
260;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский государственный аграрный университет - МСХА имени К.А. Тимирязева&quot;";6;1
261;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский государственный гидрометеорологический университет&quot;";6;1
302;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Удмуртский государственный университет&quot;";6;1
317;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ярославский государственный университет им. П.Г. Демидова&quot;";6;1
349;"федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр радиологии&quot; Министерства здравоохранения Российской Федерации";6;1
370;"Федеральное государственное бюджетное учреждение науки &quot;Институт горного дела им. Н.А. Чинакала&quot; Сибирского отделения Российской академии наук";6;1
383;Федеральное государственное бюджетное учреждение науки Ботанический институт им. В.Л. Комарова Российской академии наук;6;1
415;федеральное государственное бюджетное учреждение науки Институт вулканологии и сейсмологии Дальневосточного отделения Российской академии наук;6;1
419;Федеральное государственное бюджетное учреждение науки Институт высшей нервной деятельности и нейрофизиологии Российской академии наук;6;1
421;Федеральное государственное бюджетное учреждение науки Институт вычислительной математики и математической геофизики Сибирского отделения Российской академии наук;6;1
427;федеральное государственное бюджетное учреждение науки Институт геологии и геохронологии докембрия Российской академии наук;6;1
439;Федеральное государственное бюджетное учреждение науки Институт динамики геосфер Российской академии наук;6;1
519;федеральное государственное бюджетное учреждение науки Институт социально-политических исследований Российской академии наук;6;1
522;Федеральное государственное бюджетное учреждение науки Институт структурной макрокинетики и проблем материаловедения им. А.Г. Мержанова Российской академии наук;6;1
603;федеральное государственное бюджетное учреждение науки Тихоокеанский институт биоорганической химии им. Г.Б. Елякова Дальневосточного отделения Российской академии наук;6;1
634;"федеральное государственное унитарное предприятие &quot;Всероссийский научно-исследовательский институт авиационных материалов&quot;";6;1
639;"федеральное государственное унитарное предприятие &quot;Центральный аэрогидродинамический институт имени профессора Н.Е. Жуковского&quot;";6;1
641;"федеральное государственное унитарное предприятие &quot;Центральный научно–исследовательский институт черной металлургии им. И.П. Бардина&quot;";6;1
112;"Федеральное государственное бюджетное научное учреждение &quot;Всероссийский научно-исследовательский институт сельскохозяйственной биотехнологии&quot;";5;1
209;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого&quot; Министерства здравоохранения Российской Федерации";5;1
238;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новгородский государственный университет имени Ярослава Мудрого&quot;";5;1
239;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Новосибирский государственный аграрный университет&quot;";5;1
272;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Рязанский государственный радиотехнический университет&quot;";5;1
287;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Сибирский государственный индустриальный университет&quot;";5;1
288;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Сибирский государственный медицинский университет&quot; Министерства здравоохранения Российской Федерации";5;1
296;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тольяттинский государственный университет&quot;";5;1
303;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ульяновский государственный университет&quot;";5;1
313;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Юго-Западный государственный университет&quot;";5;1
316;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ярославский государственный педагогический университет им. К.Д. Ушинского&quot;";5;1
320;"Федеральное государственное бюджетное образовательное учреждение дополнительного профессионального образования &quot;Российская медицинская академия непрерывного профессионального образования&quot; Министерства здравоохранения Российской Федерации";5;1
361;"федеральное государственное бюджетное учреждение высшего образования и науки &quot;Санкт-Петербургский национальный исследовательский Академический университет имени Ж.И. Алферова Российской академии наук&quot;";5;1
375;"Федеральное государственное бюджетное учреждение науки &quot;Национальный научный центр морской биологии им. А.В. Жирмунского&quot; Дальневосточного отделения Российской академии наук";5;1
397;Федеральное государственное бюджетное учреждение науки Институт археологии и этнографии Сибирского отделения Российской академии наук;5;1
402;Федеральное государственное бюджетное учреждение науки Институт биологии внутренних вод им. И.Д.Папанина Российской академии наук;5;1
434;Федеральное государственное бюджетное учреждение науки Институт геоэкологии им. Е.М. Сергеева Российской академии наук;5;1
451;Федеральное государственное бюджетное учреждение науки Институт лазерной физики Сибирского отделения Российской академии наук;5;1
465;федеральное государственное бюджетное учреждение науки Институт металлургии Уральского отделения Российской академии наук;5;1
468;Федеральное государственное бюджетное учреждение науки Институт мозга человека им. Н.П. Бехтеревой Российской академии наук;5;1
523;федеральное государственное бюджетное учреждение науки Институт тектоники и геофизики им. Ю.А. Косыгина Дальневосточного отделения Российской академии наук;5;1
569;федеральное государственное бюджетное учреждение науки Институт электрофизики Уральского отделения Российской академии наук;5;1
584;Федеральное государственное бюджетное учреждение науки Научно-технологический центр уникального приборостроения Российской академии наук;5;1
31;"Научно-исследовательский институт терапии и профилактической медицины - филиал Федерального государственного бюджетного научного учреждения &quot;Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук&quot;";4;1
53;"Федеральное бюджетное учреждение науки &quot;Санкт-Петербургский научно-исследовательский институт эпидемиологии и микробиологии им. Пастера&quot; Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека";4;1
60;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Крымский федеральный университет имени В.И. Вернадского&quot;";4;1
68;"Федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;Высшая школа экономики&quot;";4;1
80;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный университет аэрокосмического приборостроения&quot;";4;1
97;Федеральное государственное бюджетное научное учреждение «Федеральный исследовательский центр Институт прикладной физики Российской академии наук»;4;1
98;Федеральное государственное бюджетное научное учреждение «Федеральный исследовательский центр Институт цитологии и генетики Сибирского отделения Российской академии наук»;4;1
121;"Федеральное государственное бюджетное научное учреждение &quot;Медико-генетический научный центр&quot;";4;1
124;"федеральное государственное бюджетное научное учреждение &quot;Научно-исследовательский институт вакцин и сывороток им. И.И. Мечникова&quot;";4;1
160;"Федеральное государственное бюджетное научное учреждение Федеральный научный центр &quot;Всероссийский научно-исследовательский и технологический институт птицеводства&quot; Российской академии наук";4;1
163;федеральное государственное бюджетное образовательное учреждение высшего образования «Московский политехнический университет»;4;1
186;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Вятский государственный университет&quot;";4;1
187;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Государственный академический университет гуманитарных наук&quot;";4;1
208;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Костромской государственный университет&quot;";4;1
227;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Московский государственный психолого-педагогический университет&quot;";4;1
