region_rus;region;region_rus_from_map;region_EN_from_map;inventive_rate2018;research_expend_region2017;state_subsidy2018;state_subsidy2018_2;grant_fonds;other_types_financing;data_jan2019;phd_students;female;full_time;selffunded;n_uni_phd_prog;n_uni_phd_foreign;n_kandidat_defence2018;n_kandidat_defence_female2018;n_uni_diss_council;n_phdsupervisors2018;phd_superv_professor;n_phd_supervisor_female;n_phd_supervisor_female_prof;n_uni_elibrary;n_readers_elibrary;n_researchers2018;n_unis20172018;RNF_grants;n_researchers_per_grant;n_uni_grants;n_years_grants;n_categories_grants;rnf2014;rnf2015;rnf2016;rnf2017;rnf2018;rnf2019;n_org;n_grants_1row;n_grants_2row;n_grants_3row;n_grants_4row;n_grants_5row;n_grants_6row;n_grants_7row;megagrants_all;n_people_presidentgrant;ECI;randd_subrank1;randd_subrank2;research_outputWoS201517;patents_research_outputWoS201517;call_patents2015;density_foreign_stud;share_expendscience_region;n_projects;region_id;sum_14_19;sh_2014;sh_2015;sh_2016;sh_2017;sh_2018;sh_2019;first_period;second_period;change2015;change2016;change2017;change2018;change2019
Город Москва столица Российской Федерации город федерального значения;The City of Moscow;г. Москва;g. Moskva;5.93;2.28;31748370;16318251.7;13163775.6;38020868.6;207698;27207;11222;23386;7082;337;127;3047;1440;72;13518;5300;4661;1524;4119;46059;39568;161;3140;12.6;237;0;360;534;134;393;743;509;827;41;11;13;13;8;13;16;12;86;3777;1.5536;0.76;0.5236;0.435;0.803;1;0.467;0.177;0.924;11;3140;0.47679;0.32057;0.44058;0.4536;0.35176;0.39475;0.41265;0.40004;-0.15621;0.12001;0.01302;-0.10184;0.04299
Город Санкт-Петербург город федерального значения;The City of Sankt-Petersburg;г. Санкт-Петербург;g. Sankt-Peterburg;3.14;3.12;7279886.1;2448435.6;4495169.5;3755491.5;75471;10301;4557;8602;2562;116;47;1126;492;23;4495;1867;1414;505;1043;19239;9061;66;1029;8.81;73;0;250;131;39;115;218;204;322;11;6;7;8;8;6;5;1;41;843;1.0724;0.74;0.5693;0.473;0.669;0.851;0.511;0.042;0.816;12;1029;0.11696;0.0933;0.12892;0.13309;0.14098;0.1537;0.11306;0.14259;-0.02366;0.03562;0.00417;0.00789;0.01272
Город федерального значения Севастополь;The City of Sevastopol disputed territory;г. Севастополь;g. Sevastopolʹ;0.95;1.14;571165.5;63226.5;48941.8;0;963;116;56;77;50;3;1;10;6;0;77;24;22;2;8;0;274;1;6;45.67;3;0;5;0;1;0;2;2;1;1;0;0;0;0;1;0;0;1;1;0;0.46;0.3816;0.517;0.49;0;0.292;1;0.447;13;6;0;0.00239;0;0.00122;0.00138;0.00048;8E-04;0.00103;0.00239;-0.00239;0.00122;0.00016;-9E-04
Еврейская автономная область;Jewish autonomous region;Еврейская АОб;Evreyskaya AOb;0.56;0.15;0;0;0;0;51;13;7;11;5;2;1;0;0;0;8;6;2;2;6;349;127;1;2;63.5;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;-0.1267;0.31;0.2965;0.364;0.377;0;0.194;0;0.366;14;2;0;0;0.00112;0;0;0.00048;0.00037;0.00016;0;0.00112;-0.00112;0;0.00048
Забайкальский край;Zabaikalsk territoty;Забайкальский край;Zabaykalʹskiy kray;0.14;0.28;71329;0;8810;2701.1;204;141;88;87;68;4;1;15;13;0;95;47;53;22;21;2003;85;7;1;85;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;-0.0902;0.38;0.2924;0.482;0.194;0;0.031;0;0.226;15;1;0;0;0.00112;0;0;0;0.00037;0;0;0.00112;-0.00112;0;0
Ивановская область;Ivanovo region;Ивановская область;Ivanovskaya oblastʹ;5.75;0.32;127980.1;75451.3;70950.3;46686.3;691;297;139;244;83;9;6;41;17;2;214;119;78;42;35;1515;232;6;27;8.59;3;0;12;4;2;2;8;3;8;0;0;0;0;0;0;0;0;0;67;0.408;0.54;0.5148;0.994;1;0.356;0.268;0;0.519;16;27;0.00357;0.00478;0.00224;0.00488;0.00207;0.00382;0.00353;0.00359;0.00121;-0.00254;0.00264;-0.00281;0.00175
Иркутская область;Irkutsk region;Иркутская область;Irkut·skaya oblastʹ;0.65;0.13;985880.5;188409.3;170660.3;173668.4;4051;1205;522;863;503;25;6;93;34;4;563;247;203;83;96;3654;1234;2;74;16.68;12;0;40;10;4;9;12;16;23;3;0;1;1;0;0;0;1;3;116;0.2751;0.48;0.4273;0.701;0.371;0.364;0.201;0.051;0.458;17;74;0.00893;0.00957;0.01009;0.00733;0.01106;0.01098;0.00953;0.00979;0.00064;0.00052;-0.00276;0.00373;-8E-05
Кабардино-Балкарская Республика;Kabardino-Balkarian Republic;Кабардино-Балкарская Республика;Kabardino-Balkarskaya Respublika;0.73;0.47;107832.3;89330.2;11255.2;2373;911;355;219;264;101;5;2;24;12;1;180;102;55;23;25;429;368;4;1;368;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0919;0.36;0.3251;0.424;0.288;0;0.267;0.014;0.348;18;1;0.00089;0;0;0;0;0;3E-04;0;-0.00089;0;0;0;0
Калининградская область;Kaliningrad region;Калининградская область;Kaliningradskaya oblastʹ;0.61;0.26;290010.8;600;83180.4;0;2128;570;249;570;59;2;2;46;25;2;234;98;83;26;37;1621;168;4;24;7;1;0;17;3;1;2;5;4;9;1;0;0;0;1;0;0;1;2;13;0.1867;0.48;0.3397;0.6;0.354;0.452;0.289;0.013;0.532;19;24;0.00268;0.00239;0.00224;0.00305;0.00276;0.0043;0.00244;0.00337;-0.00029;-0.00015;0.00081;-0.00029;0.00153
Калужская область;Kaluga region;Калужская область;Kaluzhskaya oblastʹ;1.77;1.46;605567.9;8452.8;29703.1;250463.5;8782;230;97;137;79;7;4;6;1;0;123;35;28;5;103;1120;649;3;15;43.27;6;0;11;4;1;3;2;2;3;0;0;0;0;0;0;0;0;0;22;0.7542;0.51;0.4558;0.242;0.582;0.536;0.136;0.036;0.516;20;15;0.00357;0.00239;0.00336;0.00122;0.00138;0.00143;0.00311;0.00135;-0.00118;0.00097;-0.00214;0.00016;5E-05
