"","region_EN_from_map","region_rus_from_map","region_rus","region","inventive_rate2018","research_expend_region2017","state_subsidy2018","state_subsidy2018_2","grant_fonds","other_types_financing","data_jan2019","phd_students","female","full_time","selffunded","n_uni_phd_prog","n_uni_phd_foreign","n_kandidat_defence2018","n_kandidat_defence_female2018","n_uni_diss_council","n_phdsupervisors2018","phd_superv_professor","n_phd_supervisor_female","n_phd_supervisor_female_prof","n_uni_elibrary","n_readers_elibrary","n_researchers2018","n_unis20172018","RNF_grants","n_researchers_per_grant","n_uni_grants","n_years_grants","n_categories_grants","rnf2014","rnf2015","rnf2016","rnf2017","rnf2018","rnf2019","n_org","n_grants_1row","n_grants_2row","n_grants_3row","n_grants_4row","n_grants_5row","n_grants_6row","n_grants_7row","megagrants_all","n_people_presidentgrant","ECI","randd_subrank1","randd_subrank2","research_outputWoS201517","patents_research_outputWoS201517","call_patents2015","density_foreign_stud","share_expendscience_region","n_projects","region_id","sum_14_19","sh_2014","sh_2015","sh_2016","sh_2017","sh_2018","sh_2019","first_period","second_period","change2015","change2016","change2017","change2018","change2019","VRP_R&D_2013","VRP_R&D_2014","VRP_R&D_2015","VRP_R&D_2016","VRP_R&D_2017","VRP_R&D_2018","UNI_COUNT_2013","UNI_COUNT_2014","UNI_COUNT_2015","UNI_COUNT_2016","UNI_COUNT_2017","UNI_COUNT_2018","UNI_COUNT_2019","DOCT_CAND_2013","DOCT_CAND_2014","DOCT_CAND_2015","DOCT_CAND_2016","DOCT_CAND_2017","DOCT_CAND_2018"
"31","Leningradskaya oblastʹ","Ленинградская область","Ленинградская область","Leningrad region",0.5,0.71,68202.9,81600,111500,34942.6,7229,24,4,24,7,2,1,0,0,0,18,7,10,3,73,3745,580,1,22,26.36,2,0,14,4,0,3,6,2,7,0,0,0,0,0,0,0,0,0,6,0.3029,0.36,0.3374,0.379,0.258,0.473,0.805,0.055,0.403,30,22,0.00357,0,0.00336,0.00366,0.00138,0.00334,0.00231,0.0028,-0.00357,0.00336,3e-04,-0.00228,0.00196,0.81,0.95,0.89,0.69,0.71,0.67,2,1,1,1,1,1,1,564,667,643,623,599,580
"32","Lipetskaya oblastʹ","Липецкая область","Липецкая область","Lipetzk region",0.43,0.06,22338.2,0,15107.1,747.2,206,226,80,163,120,3,3,12,6,0,90,57,37,18,28,934,242,5,2,121,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0.2289,0.4,0.3215,0.452,0.28,0.439,0.108,0.01,0.301,31,2,0,0,0,0,0.00138,0,0,0.00046,0,0,0,0.00138,-0.00138,0.07,0.07,0.09,0.07,0.06,0.09,6,6,6,6,5,5,4,122,125,281,243,226,242
"33","Magadanskaya oblastʹ","Магаданская область","Магаданская область","Magadan region",0.35,0.44,225036.1,979,417.6,0,479,31,15,31,18,1,0,0,0,0,20,3,12,1,13,265,178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0085,0.39,0.3041,0.453,0.254,0,0.088,0,0.282,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,1.09,0.58,0.44,0.44,0.48,1,1,1,1,1,1,1,118,216,212,217,201,178
"34","Moskovskaya oblastʹ","Московская область","Московская область","Moscow region",4.48,3.15,5310476.5,9683680.2,1436083.7,7465691.1,97524,2515,1098,1649,414,70,19,192,85,10,1156,364,339,117,596,11191,8232,24,349,23.59,32,0,109,50,12,48,68,70,101,7,3,4,3,2,2,0,2,16,245,1.9007,0.58,0.5165,0.325,0.8,0.676,0.311,0.167,0.553,33,349,0.04464,0.02871,0.05381,0.04151,0.04838,0.04821,0.04239,0.04603,-0.01593,0.0251,-0.0123,0.00686,-0.00017,3.66,3.79,3.5,2.93,3.17,2.96,35,38,35,34,29,24,21,7809,8178,7944,8086,7667,8232
"35","Murmanskaya oblastʹ","Мурманская область","Мурманская область","Murmansk region",0.24,0.51,314094.7,7070.4,47735.9,18708.9,1888,208,109,175,33,5,2,0,0,0,105,26,43,10,30,1576,471,3,16,29.44,10,0,11,3,1,2,3,2,5,0,0,0,0,0,0,0,0,0,15,-0.1875,0.41,0.3349,0.472,0.239,0.444,0.066,0.181,0.418,34,16,0.00268,0.00239,0.00224,0.00183,0.00138,0.00239,0.00244,0.00187,-0.00029,-0.00015,-0.00041,-0.00045,0.001,0.82,0.79,0.63,0.56,0.51,0.54,4,4,4,4,3,3,3,523,510,511,496,471,471
"36","Nenetskiy AOk","Ненецкий АОк","Ненецкий автономный округ (Архангельская область)","Nenets autonomous district",0,0.01,11305.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.17,0.181,0.12,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.03,0.02,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2
"37","Nizhegorodskaya oblastʹ","Нижегородская область","Нижегородская область","Nizhni Novgorod region",1.08,6.05,258603.1,3703767.7,1295871,1449973.8,38901,1797,726,1347,486,21,11,238,104,8,897,363,228,98,188,4983,2201,11,308,7.15,9,0,91,33,25,37,70,67,76,4,4,2,5,4,2,5,2,24,225,1.1233,0.54,0.5598,0.305,0.412,0.585,0.185,0,0.688,36,308,0.02946,0.05981,0.04148,0.04274,0.0463,0.03628,0.04358,0.04177,0.03034,-0.01833,0.00126,0.00357,-0.01003,4.68,5.8,5.94,6.7,6.04,5.64,15,13,13,13,13,11,11,2348,2312,2341,2388,2263,2201
"38","Novgorodskaya oblastʹ","Новгородская область","Новгородская область","Novgorod region",0.75,1.02,13618,215419.7,28850,0,2493,70,23,40,44,1,1,44,0,0,47,35,16,9,29,786,58,1,5,11.6,1,0,5,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0.1842,0.44,0.4966,0.263,0.357,0,0.281,0.012,0.587,37,5,0,0.00478,0.00112,0,0.00069,0.00048,0.00197,0.00039,0.00478,-0.00366,-0.00112,0.00069,-0.00021,0.68,0.52,0.68,0.7,1.09,0.78,1,1,1,1,1,1,1,36,41,72,66,59,58
"39","Novosibirskaya oblastʹ","Новосибирская область","Новосибирская область","Novosibirsk region",1.64,0.35,4702626.7,1050040.1,2398521.3,719457.9,20341,2396,1111,2025,564,56,25,261,119,13,1394,499,392,126,282,6200,5004,10,715,7,46,0,172,102,40,87,151,135,200,11,3,3,5,3,4,2,4,24,632,0.8246,0.61,0.5032,0.663,0.523,0.697,0.445,0.003,0.913,38,715,0.09107,0.09569,0.09753,0.09219,0.0933,0.09547,0.09477,0.09365,0.00462,0.00184,-0.00535,0.00111,0.00217,2,2.12,1.97,1.93,1.88,1.9,24,24,23,22,21,21,19,5257,5290,5236,5185,5104,5004
"40","Omskaya oblastʹ","Омская область","Омская область","Omsk region",1.11,0.21,223357.3,32295.9,87809,292112.7,4236,986,441,669,445,12,8,74,39,3,372,184,139,55,77,3150,343,7,20,17.15,5,0,16,3,1,3,7,2,4,0,0,0,0,0,0,0,0,0,35,0.7714,0.54,0.4404,0.484,0.368,0.303,0.993,0,0.434,39,20,0.00268,0.00239,0.00336,0.00427,0.00138,0.00191,0.00281,0.00252,-0.00029,0.00097,0.00091,-0.00289,0.00053,0.6,0.69,0.91,0.95,0.93,0.85,18,18,17,15,14,13,13,345,340,341,314,318,343
"41","Orenburgskaya oblastʹ","Оренбургская область","Оренбургская область","Orenburg region",0.89,0.13,287595.1,18348.2,59495.3,25333.3,1351,345,225,238,111,8,5,36,25,2,171,88,85,44,51,2257,257,5,9,28.56,3,0,3,3,0,1,4,0,1,0,0,0,0,0,0,0,0,0,13,0.5631,0.4,0.3087,0.375,0.336,0.257,0.495,0.094,0.305,40,9,0.00268,0,0.00112,0.00244,0,0.00048,0.00127,0.00097,-0.00268,0.00112,0.00132,-0.00244,0.00048,0.08,0.08,0.08,0.09,0.13,0.09,8,7,6,5,5,5,5,230,266,243,239,250,257
"42","Orlovskaya oblastʹ","Орловская область","Орловская область","Oryol region",0.85,0.46,63773.2,79991.1,23407.8,418.2,390,486,231,378,148,7,1,66,32,1,216,106,107,46,38,1012,147,4,9,16.33,3,0,6,1,0,1,2,3,2,0,1,0,0,0,0,0,1,1,25,0.4641,0.45,0.3597,0.48,0.351,0.389,0.359,0,0.421,41,9,0.00089,0,0.00112,0.00122,0.00207,0.00095,0.00067,0.00142,-0.00089,0.00112,1e-04,0.00085,-0.00112,0.29,0.22,0.25,0.3,0.45,0.27,6,5,5,5,4,4,4,136,133,150,152,145,147
"43","Penzenskaya oblastʹ","Пензенская область","Пензенская область","Penza region",1.08,1.5,2800,2220.8,27427.7,236757.8,5397,459,153,318,230,4,3,39,10,2,198,106,58,25,37,1160,376,4,11,34.18,2,0,7,3,2,0,4,1,1,0,0,0,0,0,0,0,0,0,42,0.7078,0.37,0.3539,0.241,0.345,0.421,0.396,0,0.398,42,11,0.00268,0.00478,0,0.00244,0.00069,0.00048,0.00249,0.0012,0.00211,-0.00478,0.00244,-0.00175,-0.00021,1.68,1.19,1.06,1.09,1.49,1.28,5,4,4,4,4,4,5,339,301,436,418,405,376
"44","Permskiy kray","Пермский край","Пермский край","Perm territory",1.08,1.2,126569.7,236901.7,310294.9,276370,9612,1067,475,784,347,11,5,149,56,4,458,241,157,83,144,3772,759,10,74,10.26,8,0,35,9,7,6,14,23,15,1,0,0,1,1,0,0,0,2,97,0.4188,0.45,0.4198,0.365,0.481,0.405,0.095,0.057,0.536,43,74,0.00804,0.01675,0.00673,0.00855,0.01589,0.00716,0.0105,0.01053,0.00871,-0.01002,0.00182,0.00735,-0.00874,1.38,1.2,1.22,1.28,1.2,1.1,16,16,13,12,11,10,10,689,769,810,782,765,759
"45","Primorskiy kray","Приморский край","Приморский край","Primorsky territory",0.83,0.89,1400738.8,62264.6,137045,71001.3,5220,896,449,793,156,22,4,79,34,1,527,225,215,82,97,5045,1596,8,105,15.2,14,0,59,25,5,9,21,21,24,2,1,0,0,1,0,0,1,3,179,-0.1925,0.5,0.4205,0.646,0.376,0.38,0.321,0,0.555,44,105,0.02232,0.01196,0.01009,0.01282,0.01451,0.01146,0.01479,0.01293,-0.01036,-0.00187,0.00273,0.00169,-0.00306,0.85,0.89,0.93,0.88,0.89,0.96,9,8,9,9,8,8,8,1664,1568,1815,1711,1645,1596
"46","Pskovskaya oblastʹ","Псковская область","Псковская область","Pskov region",0.67,0.29,23180.5,1924.1,5945,2860,191,116,51,69,62,3,1,0,0,0,51,25,23,10,15,496,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0.37,0.3321,0.336,0.32,0.403,0.548,0,0.186,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.14,0.25,0.3,0.29,0.14,4,4,3,3,3,3,3,352,347,366,60,53,51
"47","Respublika Adygeya","Республика Адыгея","Республика Адыгея (Адыгея)","Republic of Adygeya",0.26,0.24,0,6670,3250,720,252,136,64,58,73,2,2,47,30,1,79,50,43,22,7,188,65,2,1,65,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.0195,0.36,0.2582,0.28,0.144,0,0.893,0.208,0.312,46,65,0,0.00239,0,0,0,0,8e-04,0,0.00239,-0.00239,0,0,0,0.24,0.27,0.24,0.25,0.24,0.23,2,2,2,2,2,2,2,68,70,76,77,68,65
"48","Respublika Altay","Республика Алтай","Республика Алтай","Republic of Altai",0.05,0.21,14309.5,4879.9,1524,0,66,38,28,11,26,1,0,0,0,0,20,4,13,2,9,133,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.094,0.28,0.2727,0.491,0.226,0,0.246,0.226,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.23,0.21,0.21,0.21,0.2,1,1,1,1,1,1,1,48,44,36,29,32,33
"49","Respublika Bashkortostan","Республика Башкортостан","Республика Башкортостан","Republic of Bashkortostan",1.35,0.63,374431.6,50996.1,210109.4,306500.9,9513,1543,752,915,889,15,8,168,81,4,715,420,247,148,136,4750,1106,10,78,14.18,12,0,36,7,6,10,14,16,25,2,1,1,0,0,0,0,0,2,109,0.3638,0.54,0.4864,0.455,0.519,0.479,0.18,0.239,0.443,48,78,0.00625,0.01435,0.01121,0.00855,0.01106,0.01193,0.0106,0.01051,0.0081,-0.00314,-0.00266,0.00251,0.00088,0.62,0.66,0.63,0.66,0.62,0.65,13,11,11,11,10,10,10,1102,1253,1183,1172,1096,1106
"50","Respublika Buryatiya","Республика Бурятия","Республика Бурятия","Republic of Buryatia",0.33,2.75,522439.6,38800,40429.8,9639,848,460,289,304,168,9,3,40,22,1,235,98,121,36,28,1176,469,7,12,39.08,5,0,9,5,1,0,3,1,2,1,0,0,0,0,1,0,0,1,22,0.676,0.43,0.3881,0.551,0.279,0,0.093,0.013,0.38,49,12,0.00446,0.00239,0,0.00183,0.00069,0.00095,0.00229,0.00116,-0.00207,-0.00239,0.00183,-0.00114,0.00026,0.5,0.5,0.52,0.47,0.43,0.37,5,5,5,5,5,5,5,523,536,580,537,501,469
"51","Respublika Dagestan","Республика Дагестан","Республика Дагестан","Republic of Dagestan",0.35,0.15,375899.8,5331.7,26936.8,125,1343,631,382,232,394,14,3,127,80,1,276,144,90,35,50,505,686,14,2,343,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0.4539,0.36,0.3415,0.367,0.427,0.241,0.253,0.046,0.196,50,2,0,0.00239,0,0,0.00069,0,8e-04,0.00023,0.00239,-0.00239,0,0.00069,-0.00069,0.2,0.18,0.17,0.16,0.15,0.19,16,17,19,18,16,14,13,592,584,738,1020,802,686
"52","Respublika Ingushetiya","Республика Ингушетия","Республика Ингушетия*","Republic of Ingushetia",0.04,0.11,0,0,0,0,86,51,39,51,6,1,0,0,0,0,15,11,10,7,4,98,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753,0.18,0.2169,0.15,0.141,0,0.019,0,0.202,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.16,0.13,0.12,0.19,2,1,2,2,2,2,2,44,43,173,165,131,78
"53","Respublika Kalmykiya","Республика Калмыкия","Республика Калмыкия","Republic of Kalmykia",1.21,0.1,53424.5,0,0,0,142,176,112,52,145,2,1,0,0,0,42,33,27,19,6,196,53,1,4,13.25,2,0,3,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.068,0.37,0.3804,0.469,0.299,0,0.383,0.293,0.351,52,4,0.00089,0.00239,0,0,0.00069,0.00048,0.0011,0.00039,0.0015,-0.00239,0,0.00069,-0.00021,0.17,0.16,0.14,0.12,0.09,0.11,1,1,1,1,1,1,1,78,77,79,75,56,53
"54","Respublika Kareliya","Республика Карелия","Республика Карелия","Republic of Karelia",0.44,0.37,8568.2,172419.2,73164,13699.6,823,122,76,106,19,3,2,2,1,1,85,28,41,10,20,983,347,2,18,19.28,5,0,10,3,2,1,7,2,3,1,0,1,0,0,0,0,0,1,25,0.0897,0.43,0.409,0.619,0.294,0,0.169,0.004,0.532,53,18,0.00268,0.00478,0.00112,0.00427,0.00138,0.00143,0.00286,0.00236,0.00211,-0.00366,0.00315,-0.00289,5e-05,0.5,0.52,0.5,0.42,0.37,0.39,3,2,2,2,2,2,2,341,346,364,364,362,347
"55","Respublika Khakasiya","Республика Хакасия","Республика Хакасия","Republic of Khakasia",0.24,0.44,57933.8,600,10478,6756.9,109,77,52,12,71,1,0,1,1,0,37,18,23,11,8,595,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-0.0052,0.36,0.317,0.354,0.205,0,0.024,0.126,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.05,0.04,0.04,0.05,2,1,1,1,1,1,1,142,144,137,153,169,57
"56","Respublika Komi","Республика Коми","Республика Коми","Republic of Komi",0.6,0.41,3543.9,5405.2,30380.8,29871.4,1455,183,96,106,106,3,1,6,1,1,117,34,45,9,28,971,509,3,8,63.63,4,0,8,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,34,0.2091,0.49,0.4632,0.451,0.267,0.63,0.179,0.014,0.284,54,8,0,0,0.00112,0.00122,0.00138,0.00143,0.00037,0.00135,0,0.00112,1e-04,0.00016,5e-05,0.46,0.44,0.45,0.44,0.41,0.3,5,4,3,3,3,3,3,484,491,493,489,501,509
"57","Respublika Krym","Республика Крым","Республика Крым","Republic of Crimea disputed territory",0.38,0.41,517231.5,5026.6,187574.7,0,2385,506,278,389,140,6,1,57,39,1,247,131,113,53,28,0,391,7,12,32.58,3,0,9,1,0,0,0,4,7,1,0,0,0,0,0,0,2,2,2,0,0.39,0.2928,0.484,0.277,0,0.368,0.441,0.281,55,12,0.00089,0,0,0,0.00276,0.00334,3e-04,0.00204,-0.00089,0,0,0.00276,0.00058,NA,0.27,0.46,0.43,0.43,0.38,NA,NA,11,6,7,7,7,NA,270,311,305,401,391
"58","Respublika Mariy El","Республика Марий Эл","Республика Марий Эл","Republic of Marij El",1.56,0.12,13945.4,27069.2,13819.2,0,360,236,111,144,138,3,2,18,7,1,95,53,32,18,27,654,54,3,6,9,2,0,4,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,13,0.3407,0.51,0.46,1,0.526,0,0.593,0.083,0.374,56,6,0,0.00239,0.00112,0,0.00207,0.00048,0.00117,0.00085,0.00239,-0.00127,-0.00112,0.00207,-0.0016,0.14,0.1,0.08,0.11,0.12,0.14,3,3,3,3,3,3,3,56,54,56,52,55,54
"59","Respublika Mordoviya","Республика Мордовия","Республика Мордовия","Republic of Mordovia",0.88,0.39,0,49122.6,63509.9,23525,483,566,253,453,122,3,2,37,18,1,243,130,123,59,33,941,78,3,7,11.14,1,0,5,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,35,0.3235,0.51,0.3413,0.522,0.322,0,0.353,0.434,0.48,57,7,0,0.00478,0,0.00061,0.00207,0.00048,0.00159,0.00105,0.00478,-0.00478,0.00061,0.00146,-0.0016,0.61,0.56,0.46,0.4,0.38,0.44,3,3,3,3,3,3,3,91,103,100,100,89,78
"60","Respublika Sakha","Республика Саха","Республика Саха (Якутия)","Republic of Sakha (Yakutia)",0.72,0.49,2188557.2,47687.9,75569.8,17861.1,2146,457,265,348,147,12,1,15,4,0,228,85,112,36,42,940,700,35,15,46.67,7,0,13,3,3,0,3,2,4,1,0,0,0,0,1,0,0,1,16,0.0155,0.44,0.3476,0.555,0.315,0.364,0.077,0.194,0.375,58,15,0.00268,0.00718,0,0.00183,0.00138,0.00191,0.00329,0.00171,0.0045,-0.00718,0.00183,-0.00045,0.00053,0.41,0.38,0.33,0.3,0.28,0.27,6,7,7,7,7,7,7,731,785,691,755,702,700
"61","Respublika Severnaya Osetiya-Alaniya","Республика Северная Осетия-Алания","Республика Северная Осетия-Алания","Republic of North Ossetia - Alania",1.16,0.27,1326.1,0,4771,1165,484,402,212,250,175,7,1,27,17,1,174,103,69,25,23,381,170,6,2,85,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,9,-0.0088,0.48,0.34,0.513,0.445,0,0.167,0.191,0.231,59,2,0,0,0,0,0,0.00095,0,0.00032,0,0,0,0,0.00095,0.31,0.37,0.31,0.3,0.27,0.26,11,9,9,8,7,6,6,192,190,172,190,181,170
"62","Respublika Tatarstan","Республика Татарстан","Республика Татарстан (Татарстан)","Republic of Tatarstan",1.86,0.77,87387.9,708466.2,905645.2,1004117.9,12503,3035,1366,2427,856,36,16,338,197,6,1248,586,426,170,221,5746,1808,24,227,7.96,13,0,88,23,16,21,46,46,75,3,1,1,0,2,2,2,1,9,221,0.9371,0.6,0.475,0.597,0.531,0.499,0.38,0.365,0.634,60,227,0.02054,0.03828,0.02354,0.02808,0.03179,0.0358,0.02745,0.03189,0.01774,-0.01473,0.00454,0.00371,0.00401,0.72,0.73,0.65,0.65,0.76,0.72,28,26,25,25,23,24,23,1623,1586,1633,1644,1793,1808
"63","Respublika Tyva","Республика Тыва","Республика Тыва","Republic of Tuva",0.06,0.43,185902.4,0,6838.5,3049.2,229,43,35,10,33,1,0,4,2,0,23,6,14,2,13,110,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578,0.27,0.2695,0.337,0,0,0.077,0.741,0.253,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.65,0.61,0.49,0.44,0.45,1,1,1,1,1,1,1,88,91,87,85,79,76
"64","Rostovskaya oblastʹ","Ростовская область","Ростовская область","Rostov region",1.46,0.97,209834.2,215387.9,263445.3,1031917.8,12792,2606,1130,2010,788,21,11,227,93,6,1039,535,335,135,179,5420,1325,12,103,12.86,9,0,59,15,9,13,17,21,28,2,0,0,0,1,1,1,2,5,141,0.7408,0.52,0.4161,0.443,0.429,0.388,0.281,0,0.479,63,103,0.01339,0.02153,0.01457,0.01038,0.01451,0.01337,0.0165,0.01275,0.00814,-0.00696,-0.0042,0.00413,-0.00115,1,1.46,1.15,1.06,0.97,0.9,25,23,21,18,14,12,12,1286,1473,1394,1378,1417,1325
"65","Ryazanskaya oblastʹ","Рязанская область","Рязанская область","Ryazan region",1.61,0.44,99235.3,35434.8,27209.4,0,2411,374,158,236,161,5,4,63,27,3,165,76,42,20,50,885,179,6,12,14.92,3,0,8,2,1,0,4,2,3,0,0,0,0,0,0,0,0,0,30,0.6508,0.43,0.349,0.411,0.479,0.396,0.292,0.015,0.441,64,12,0.00179,0.00239,0,0.00244,0.00138,0.00143,0.00139,0.00175,0.00061,-0.00239,0.00244,-0.00106,5e-05,0.5,0.5,0.68,0.61,0.44,0.51,9,9,8,7,7,6,6,207,190,210,218,189,179
"66","Sakhalinskaya oblastʹ","Сахалинская область","Сахалинская область","Sakhalin region",0.08,0.15,444059.6,18432,2820,12961.1,568,60,29,38,25,3,0,4,1,0,30,2,11,1,17,596,105,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139,0.33,0.2978,0.304,0.078,0,0.05,0.005,0.246,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.17,0.16,0.15,0.1,2,2,2,2,2,2,2,123,129,122,113,119,105
"67","Samarskaya oblastʹ","Самарская область","Самарская область","Samara region",1.31,1.06,181090.9,640705,257414.5,825171.2,5277,1551,715,1268,491,16,6,161,69,5,653,344,193,90,193,4759,500,20,40,12.5,5,0,29,1,3,3,8,9,16,3,1,0,2,0,3,0,0,6,65,0.7211,0.5,0.3831,0.374,0.467,0.532,0.215,0.007,0.444,65,40,0.00089,0.00718,0.00336,0.00488,0.00622,0.00764,0.00381,0.00625,0.00628,-0.00381,0.00152,0.00134,0.00142,1.81,1.27,1.37,0.93,1.06,0.93,28,28,26,25,22,20,19,557,535,529,490,514,500
"68","Saratovskaya oblastʹ","Саратовская область","Саратовская область","Saratov region",0.88,0.67,273074.6,721399.9,368369,478338.3,3832,1295,607,1018,349,14,5,160,75,6,676,391,268,131,116,3628,1014,7,77,13.17,7,0,41,8,6,10,17,15,21,1,1,0,0,1,0,1,1,4,156,0.4403,0.48,0.3844,0.498,0.351,0.462,0.255,0.003,0.546,66,77,0.00714,0.01435,0.01121,0.01038,0.01037,0.01002,0.0109,0.01026,0.00721,-0.00314,-0.00083,-1e-05,-0.00034,0.54,0.58,0.57,0.68,0.67,0.63,8,8,7,7,7,7,7,823,778,1055,1067,994,1014
"69","Smolenskaya oblastʹ","Смоленская область","Смоленская область","Smolensk region",0.34,0.57,11104.1,2000,23535,9146.2,851,164,105,80,100,5,4,7,4,0,88,47,40,19,29,651,60,7,3,20,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1.0343,0.4,0.3969,0.294,0.266,0.302,0.636,0,0.315,69,3,0,0.00239,0,0,0.00069,0.00048,8e-04,0.00039,0.00239,-0.00239,0,0.00069,-0.00021,0.43,0.45,0.52,0.54,0.55,0.55,9,8,8,7,7,7,6,64,58,62,54,58,60
"70","Stavropolʹskiy kray","Ставропольский край","Ставропольский край","Stavropol territory",0.53,0.28,0,107179.9,39247,83393.6,1451,1147,675,669,518,14,4,59,29,2,508,275,235,124,102,1987,1160,16,7,165.71,2,0,5,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,60,0.5221,0.48,0.359,0.377,0.326,0.443,0.321,0.085,0.255,70,7,0.00089,0,0,0.00061,0.00069,0.00191,3e-04,0.00107,-0.00089,0,0.00061,8e-05,0.00122,0.26,0.25,0.24,0.28,0.28,0.29,20,19,20,17,16,16,14,679,1010,1295,1200,1112,1160
"71","Sverdlovskaya oblastʹ","Свердловская область","Свердловская область","Sverdlovsk region",1.14,1.5,1979308.7,214191.2,596241.7,467610,19262,2015,858,1711,429,41,10,302,150,9,926,478,315,132,285,5765,2637,23,245,10.76,24,0,88,31,15,31,41,64,63,3,0,1,1,2,0,0,1,5,236,1.1789,0.56,0.4929,0.516,0.426,0.614,0.213,0,0.587,68,245,0.02768,0.03589,0.03475,0.02503,0.04423,0.03007,0.03277,0.03311,0.00821,-0.00113,-0.00972,0.0192,-0.01416,1.37,1.58,1.44,1.49,1.51,1.32,32,29,24,26,24,23,23,2644,2657,3009,2746,2674,2637
"72","Tambovskaya oblastʹ","Тамбовская область","Тамбовская область","Tambov region",0.79,0.36,1690,114234.6,78348,0,1027,513,239,317,282,6,4,75,34,3,207,103,69,31,37,1001,164,4,20,8.2,3,0,12,0,7,2,2,6,3,0,0,0,0,0,0,0,0,0,26,0.1352,0.48,0.3413,0.513,0.327,0.303,0.45,0.011,0.46,71,20,0,0.01675,0.00224,0.00122,0.00415,0.00143,0.00633,0.00227,0.01675,-0.0145,-0.00102,0.00293,-0.00271,0.61,0.8,0.69,0.56,0.36,0.28,5,4,4,4,4,4,4,195,196,202,176,184,164
"73","Tomskaya oblastʹ","Томская область","Томская область","Tomsk region",2.79,1.9,1029935.6,1543127.3,918343,1559418.4,7346,2171,972,2032,306,18,13,344,163,9,983,409,320,107,184,5792,1856,21,325,5.71,13,0,132,33,21,32,64,87,88,2,3,1,2,3,2,1,1,13,314,0.0321,0.65,0.6004,0.958,0.688,0.669,0.996,0.011,1,73,325,0.02946,0.05024,0.03587,0.03907,0.06012,0.042,0.03853,0.04707,0.02077,-0.01436,0.0032,0.02105,-0.01812,2.2,2.25,2.47,2.46,2.76,2.82,9,9,9,9,8,7,7,1734,1775,1801,2228,1774,1856
"74","Tulʹskaya oblastʹ","Тульская область","Тульская область","Tula region",0.94,1.07,4171.1,71185.9,26526.7,105007,7050,364,106,239,183,2,2,31,9,1,172,121,36,22,80,1561,214,6,2,107,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,19,0.3028,0.46,0.3264,0.216,0.394,0.536,0.317,0.018,0.377,74,2,0,0,0,0.00061,0.00069,0,0,0.00043,0,0,0.00061,8e-05,-0.00069,0.7,0.75,0.88,1.07,1.07,1.05,9,9,8,8,6,6,6,182,236,333,262,216,214
"75","Tverskaya oblastʹ","Тверская область","Тверская область","Tver region",1.22,1.21,6068.3,10307.6,60051.7,14518.6,4226,423,208,236,230,4,2,54,31,1,168,107,67,39,56,1285,309,7,11,28.09,2,0,5,0,2,0,2,3,4,0,0,0,0,0,0,0,0,0,8,0.6737,0.46,0.4008,0.258,0.429,0.281,0.42,0.007,0.337,72,11,0,0.00478,0,0.00122,0.00207,0.00191,0.00159,0.00173,0.00478,-0.00478,0.00122,0.00085,-0.00016,1.2,1.31,1.42,1.32,1.2,0.99,8,7,7,7,7,7,7,418,390,375,351,334,309
