"","region_EN_from_map","region_rus_from_map","region_rus","region","inventive_rate2018","research_expend_region2017","state_subsidy2018","state_subsidy2018_2","grant_fonds","other_types_financing","data_jan2019","phd_students","female","full_time","selffunded","n_uni_phd_prog","n_uni_phd_foreign","n_kandidat_defence2018","n_kandidat_defence_female2018","n_uni_diss_council","n_phdsupervisors2018","phd_superv_professor","n_phd_supervisor_female","n_phd_supervisor_female_prof","n_uni_elibrary","n_readers_elibrary","n_researchers2018","n_unis20172018","RNF_grants","n_researchers_per_grant","n_uni_grants","n_years_grants","n_categories_grants","rnf2014","rnf2015","rnf2016","rnf2017","rnf2018","rnf2019","n_org","n_grants_1row","n_grants_2row","n_grants_3row","n_grants_4row","n_grants_5row","n_grants_6row","n_grants_7row","megagrants_all","n_people_presidentgrant","ECI","randd_subrank1","randd_subrank2","research_outputWoS201517","patents_research_outputWoS201517","call_patents2015","density_foreign_stud","share_expendscience_region","n_projects","region_id","sum_14_19","sh_2014","sh_2015","sh_2016","sh_2017","sh_2018","sh_2019","first_period","second_period","change2015","change2016","change2017","change2018","change2019","VRP_R&D_2013","VRP_R&D_2014","VRP_R&D_2015","VRP_R&D_2016","VRP_R&D_2017","VRP_R&D_2018","UNI_COUNT_2013","UNI_COUNT_2014","UNI_COUNT_2015","UNI_COUNT_2016","UNI_COUNT_2017","UNI_COUNT_2018","UNI_COUNT_2019","DOCT_CAND_2013","DOCT_CAND_2014","DOCT_CAND_2015","DOCT_CAND_2016","DOCT_CAND_2017","DOCT_CAND_2018"
"11","Evreyskaya AOb","Еврейская АОб","Еврейская автономная область","Jewish autonomous region",0.56,0.15,0,0,0,0,51,13,7,11,5,2,1,0,0,0,8,6,2,2,6,349,127,1,2,63.5,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.1267,0.31,0.2965,0.364,0.377,0,0.194,0,0.366,14,2,0,0,0.00112,0,0,0.00048,0.00037,0.00016,0,0.00112,-0.00112,0,0.00048,0.24,0.23,0.17,0.17,0.15,0.15,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"12","g. Moskva","г. Москва","Город Москва столица Российской Федерации город федерального значения","The City of Moscow",5.93,2.28,31748370,16318251.7,13163775.6,38020868.6,207698,27207,11222,23386,7082,337,127,3047,1440,72,13518,5300,4661,1524,4119,46059,39568,161,3140,12.6,237,0,360,534,134,393,743,509,827,41,11,13,13,8,13,16,12,86,3777,1.5536,0.76,0.5236,0.435,0.803,1,0.467,0.177,0.924,11,3140,0.47679,0.32057,0.44058,0.4536,0.35176,0.39475,0.41265,0.40004,-0.15621,0.12001,0.01302,-0.10184,0.04299,2.24,2.33,2.39,2.32,2.28,1.96,248,223,227,203,179,161,153,46632,45621,44524,43238,41247,39568
"13","g. Sankt-Peterburg","г. Санкт-Петербург","Город Санкт-Петербург город федерального значения","The City of Sankt-Petersburg",3.14,3.12,7279886.1,2448435.6,4495169.5,3755491.5,75471,10301,4557,8602,2562,116,47,1126,492,23,4495,1867,1414,505,1043,19239,9061,66,1029,8.81,73,0,250,131,39,115,218,204,322,11,6,7,8,8,6,5,1,41,843,1.0724,0.74,0.5693,0.473,0.669,0.851,0.511,0.042,0.816,12,1029,0.11696,0.0933,0.12892,0.13309,0.14098,0.1537,0.11306,0.14259,-0.02366,0.03562,0.00417,0.00789,0.01272,3.73,3.84,3.24,3.12,3.16,2.96,82,77,77,76,71,66,66,11372,11148,10801,10152,9673,9061
"14","g. Sevastopolʹ","г. Севастополь","Город федерального значения Севастополь","The City of Sevastopol disputed territory",0.95,1.14,571165.5,63226.5,48941.8,0,963,116,56,77,50,3,1,10,6,0,77,24,22,2,8,0,274,1,6,45.67,3,0,5,0,1,0,2,2,1,1,0,0,0,0,1,0,0,1,1,0,0.46,0.3816,0.517,0.49,0,0.292,1,0.447,13,6,0,0.00239,0,0.00122,0.00138,0.00048,8e-04,0.00103,0.00239,-0.00239,0.00122,0.00016,-9e-04,NA,0.89,1.34,0.99,1.12,1.04,NA,NA,4,2,1,1,1,NA,224,360,270,275,274
"15","Irkut·skaya oblastʹ","Иркутская область","Иркутская область","Irkutsk region",0.65,0.13,985880.5,188409.3,170660.3,173668.4,4051,1205,522,863,503,25,6,93,34,4,563,247,203,83,96,3654,1234,2,74,16.68,12,0,40,10,4,9,12,16,23,3,0,1,1,0,0,0,1,3,116,0.2751,0.48,0.4273,0.701,0.371,0.364,0.201,0.051,0.458,17,74,0.00893,0.00957,0.01009,0.00733,0.01106,0.01098,0.00953,0.00979,0.00064,0.00052,-0.00276,0.00373,-8e-05,0.58,0.51,0.43,0.38,0.35,0.34,16,14,13,12,11,10,10,1394,1370,1308,1277,1259,1234
"16","Ivanovskaya oblastʹ","Ивановская область","Ивановская область","Ivanovo region",5.75,0.32,127980.1,75451.3,70950.3,46686.3,691,297,139,244,83,9,6,41,17,2,214,119,78,42,35,1515,232,6,27,8.59,3,0,12,4,2,2,8,3,8,0,0,0,0,0,0,0,0,0,67,0.408,0.54,0.5148,0.994,1,0.356,0.268,0,0.519,16,27,0.00357,0.00478,0.00224,0.00488,0.00207,0.00382,0.00353,0.00359,0.00121,-0.00254,0.00264,-0.00281,0.00175,0.36,0.42,0.39,0.36,0.32,0.34,9,8,7,6,6,6,6,423,477,270,271,233,232
"17","Kabardino-Balkarskaya Respublika","Кабардино-Балкарская Республика","Кабардино-Балкарская Республика","Kabardino-Balkarian Republic",0.73,0.47,107832.3,89330.2,11255.2,2373,911,355,219,264,101,5,2,24,12,1,180,102,55,23,25,429,368,4,1,368,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0919,0.36,0.3251,0.424,0.288,0,0.267,0.014,0.348,18,1,0.00089,0,0,0,0,0,3e-04,0,-0.00089,0,0,0,0,0.5,0.52,0.41,0.37,0.47,0.49,4,4,4,4,4,4,4,296,310,396,486,363,368
"18","Kaliningradskaya oblastʹ","Калининградская область","Калининградская область","Kaliningrad region",0.61,0.26,290010.8,600,83180.4,0,2128,570,249,570,59,2,2,46,25,2,234,98,83,26,37,1621,168,4,24,7,1,0,17,3,1,2,5,4,9,1,0,0,0,1,0,0,1,2,13,0.1867,0.48,0.3397,0.6,0.354,0.452,0.289,0.013,0.532,19,24,0.00268,0.00239,0.00224,0.00305,0.00276,0.0043,0.00244,0.00337,-0.00029,-0.00015,0.00081,-0.00029,0.00153,0.39,0.32,0.33,0.34,0.26,0.27,5,4,4,4,4,4,3,170,184,194,215,163,168
"19","Kaluzhskaya oblastʹ","Калужская область","Калужская область","Kaluga region",1.77,1.46,605567.9,8452.8,29703.1,250463.5,8782,230,97,137,79,7,4,6,1,0,123,35,28,5,103,1120,649,3,15,43.27,6,0,11,4,1,3,2,2,3,0,0,0,0,0,0,0,0,0,22,0.7542,0.51,0.4558,0.242,0.582,0.536,0.136,0.036,0.516,20,15,0.00357,0.00239,0.00336,0.00122,0.00138,0.00143,0.00311,0.00135,-0.00118,0.00097,-0.00214,0.00016,5e-05,3.18,3.15,2.93,2.49,1.46,1.53,4,3,3,3,3,3,3,882,855,881,796,723,649
"20","Kamchat·skiy kray","Камчатский край","Камчатский край","Kamchatka territory",0.16,0.6,482305.8,180593.1,33918.4,1060.8,814,92,43,73,19,3,0,4,1,0,53,7,25,2,15,500,200,2,10,20,3,0,6,2,1,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0.0287,0.38,0.357,0.474,0.216,0,0.038,0.003,0.539,21,10,0.00179,0.00239,0.00336,0.00061,0.00138,0.00048,0.00251,0.00082,0.00061,0.00097,-0.00275,0.00077,-9e-04,0.95,0.86,0.74,0.59,0.6,0.59,2,2,2,2,2,2,2,195,273,285,270,208,200
